edition,product,version,checksum,date,dlnumber,url,filename,filetype,size,family
Citrix Virtual Apps and Desktops 7 2203 LTSR,Citrix Virtual Apps and Desktops 7 2203,2203,SHA-256 - 4f1821cabef5ad94c3e9eaf11ed598b25ff8b07bfafbb205c0bf805f01166ea4,"Mar 23, 2022",20428,https://secureportal.citrix.com/udl.asp?DLID=20428&URL=https://downloads.citrix.com/20428/Citrix_Virtual_Apps_and_Desktops_7_2203.iso,Citrix_Virtual_Apps_and_Desktops_7_2203.iso,iso,2.53 GB,cvad
Citrix Virtual Apps and Desktops 7 2203 LTSR,Multi-session OS Virtual Delivery Agent 2203,2203,SHA-256 - 96f40d80910a582713eabaf514dfc5939ca5fad27dd8f21c5d4c69481b427872,"Mar 23, 2022",20429,https://secureportal.citrix.com/udl.asp?DLID=20429&URL=https://downloads.citrix.com/20429/VDAServerSetup_2203.exe,VDAServerSetup_2203.exe,exe,540 MB,cvad
Citrix Virtual Apps and Desktops 7 2203 LTSR,Single-session OS Virtual Delivery Agent 2203,2203,SHA-256 - 3c6ed49ea6dc09a0e59c5db2930f013aa2afe7ba3b8a487d849f2799ed02f460,"Mar 23, 2022",20430,https://secureportal.citrix.com/udl.asp?DLID=20430&URL=https://downloads.citrix.com/20430/VDAWorkstationSetup_2203.exe,VDAWorkstationSetup_2203.exe,exe,545 MB,cvad
Citrix Virtual Apps and Desktops 7 2203 LTSR,Single-session OS Core Services Virtual Delivery Agent 2203,2203,SHA-256 - fba7bac957b654484215ceb34a6e1704ca24e0497db29ba15f89700279991aa7,"Mar 23, 2022",20431,https://secureportal.citrix.com/udl.asp?DLID=20431&URL=https://downloads.citrix.com/20431/VDAWorkstationCoreSetup_2203.exe,VDAWorkstationCoreSetup_2203.exe,exe,251 MB,cvad
Citrix Virtual Apps and Desktops 7 2203 LTSR,License Server for Windows - Version 11.17.2.0 Build 37000,2203,SHA-256 - 3ca4565ce54d97426b3862f3beef120110d60e07bc9030cb5cb130c78a16aa56,"Mar 23, 2022",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.17.2.0_BUILD_37000.zip,Citrix_Licensing_11.17.2.0_BUILD_37000.zip,zip,55 MB,cvad
Citrix Virtual Apps and Desktops 7 2203 LTSR,Profile Management 2203,2203,SHA-256 - 8b3b0b648b793a17940dba126ffb25635f37c9cbc1993c654ea4f0d6a2475c9e,"Mar 23, 2022",19803,https://secureportal.citrix.com/udl.asp?DLID=19803&URL=https://downloads.citrix.com/19803/ProfileMgmt_2203.zip,ProfileMgmt_2203.zip,zip,13.8 MB,cvad
Citrix Virtual Apps and Desktops 7 2203 LTSR,StoreFront 2203,2203,SHA-256 - 9574412310f5f84b1e206134665f6226c0c7a826292f869345519d0398b66265,"Mar 23, 2022",20791,https://secureportal.citrix.com/udl.asp?DLID=20791&URL=https://downloads.citrix.com/20791/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe,exe,49.8 MB,cvad
Citrix Virtual Apps and Desktops 7 2203 LTSR,Sources: Session Recording,2203,SHA-256 - 5e6a0127c127b19af851fd83dc2cb70b1918dc20ef21af84bf66efc02fb52916,"Feb 23, 2017",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip,zip,18.1 KB,cvad
Citrix Virtual Apps and Desktops 7 2112,Citrix Virtual Apps and Desktops 7 2112,2112,SHA-256 - 9543c0d36459024ce2106d06435ca511c546e8e0056895dfe78869758a3e3c99,"Dec 14, 2021",20115,https://secureportal.citrix.com/udl.asp?DLID=20115&URL=https://downloads.citrix.com/20115/Citrix_Virtual_Apps_and_Desktops_7_2112.iso,Citrix_Virtual_Apps_and_Desktops_7_2112.iso,iso,2.52 GB,cvad
Citrix Virtual Apps and Desktops 7 2112,Multi-session OS Virtual Delivery Agent 2112,2112,SHA-256 - a43b9a082f1de2ac12598cc4da4b411b028eb5091ef5fcf773c104f14a014bcd,"Dec 14, 2021",20116,https://secureportal.citrix.com/udl.asp?DLID=20116&URL=https://downloads.citrix.com/20116/VDAServerSetup_2112.exe,VDAServerSetup_2112.exe,exe,533 MB,cvad
